   171/499     10.8G   0.03056   0.08758  0.005716    0.1239       323      1376    0.6087    0.5497    0.5469    0.3245   0.03974    0.4032   0.02506
   172/499     10.8G   0.03049   0.08888  0.005623     0.125       179      1376    0.6091    0.5499    0.5473    0.3248   0.03974    0.4032   0.02506
   173/499     10.8G   0.03055   0.08613  0.005699    0.1224       280      1376    0.6055    0.5523    0.5475    0.3247   0.03973    0.4033   0.02505
   174/499     10.8G    0.0306   0.08934  0.005632    0.1256       362      1376     0.622    0.5399    0.5477    0.3249   0.03973    0.4034   0.02504
   175/499     10.8G   0.03044   0.08648  0.005613    0.1225       218      1376    0.6019    0.5556    0.5477     0.325   0.03972    0.4035   0.02503
   176/499     10.8G   0.03054   0.08728   0.00564    0.1235       190      1376    0.6213    0.5408    0.5479    0.3252   0.03971    0.4035   0.02502
   177/499     10.8G   0.03041   0.08742  0.005612    0.1234       349      1376    0.6321    0.5333    0.5479    0.3252    0.0397    0.4036     0.025
   178/499     10.8G   0.03052   0.08721  0.005599    0.1233        85      1376    0.6321    0.5333    0.5481    0.3254   0.03969    0.4036     0.025
   179/499     10.8G   0.03031   0.08708  0.005592     0.123       192      1376    0.6332    0.5328    0.5483    0.3254   0.03969    0.4037   0.02499
   180/499     10.8G   0.03048   0.08623  0.005595    0.1223       370      1376    0.6048     0.554    0.5488    0.3256   0.03968    0.4036   0.02498
   181/499     10.8G   0.03029   0.08663  0.005501    0.1224       161      1376    0.6049    0.5541    0.5491    0.3259   0.03967    0.4037   0.02497
   182/499     10.8G   0.03041   0.08828  0.005623    0.1243       173      1376    0.6335    0.5327    0.5492     0.326   0.03967    0.4037   0.02495
   183/499     10.8G   0.03044   0.08632  0.005559    0.1223       290      1376    0.6008    0.5569    0.5491    0.3259   0.03966    0.4038   0.02494
   184/499     10.8G   0.03044   0.08579   0.00554    0.1218       379      1376    0.5995    0.5581    0.5492     0.326   0.03966    0.4038   0.02493
   185/499     10.8G   0.03029   0.08604  0.005602    0.1219       210      1376    0.6337    0.5327    0.5492    0.3261   0.03965    0.4039   0.02493
   186/499     10.8G   0.03024   0.08555  0.005474    0.1213       518      1376    0.6373    0.5304    0.5489     0.326   0.03964    0.4039   0.02493
   187/499     10.8G   0.03044   0.08721  0.005527    0.1232       508      1376    0.6376      0.53    0.5489    0.3259   0.03964    0.4039   0.02492
   188/499     10.8G   0.03041   0.08637   0.00547    0.1223        21      1376    0.6315    0.5336    0.5491    0.3261   0.03963     0.404   0.02492
